problems,purpose
"{""Impulsywno\u015b\u0107"": 4, ""Brak cierpliwo\u015bci"": 4, ""Frustracja"": 5, ""Podnoszenie g\u0142osu / krzyk"": 5, ""Przebod\u017acowanie"": 5, ""Stres"": 5, ""Poczucie winy"": 5, ""Wybuchy z\u0142o\u015bci"": 5}","Chciałabym ni krzyczeć na dzieci, nie stresować się kiedy się kłócą, nie wybuchać złością tylko starać się olewać pewne sytuacje bo po chwili uświadamiam sobie że to nie było konieczne "
"{""Frustracja"": 5, ""Podnoszenie g\u0142osu / krzyk"": 3, ""Przebod\u017acowanie"": 3, ""Stres"": 5}",Opanowanie
"{""Impulsywno\u015b\u0107"": 4, ""Brak cierpliwo\u015bci"": 4, ""Podnoszenie g\u0142osu / krzyk"": 3, ""Przebod\u017acowanie"": 3, ""Po\u015bpiech"": 5, ""Poczucie winy"": 3, ""Wybuchy z\u0142o\u015bci"": 5}","Być wyrozumiała, rozumiejącą , spokojną, wesołą mamą. Nie tylko do obowiązków ale tez i do zabawy."
"{""Podnoszenie g\u0142osu / krzyk"": 5, ""Problemy ze snem"": 3, ""Przebod\u017acowanie"": 3, ""Po\u015bpiech"": 3, ""Stres"": 3, ""Poczucie winy"": 3, ""Wybuchy z\u0142o\u015bci"": 3, ""Impulsywno\u015b\u0107"": 2, ""Frustracja"": 4}","Pragnę stać się spokojną mama, która mówi spokojnym głosem dzięki czemu zmieni się atmosfera panującą w domu. "
"{""Impulsywno\u015b\u0107"": 5, ""Podnoszenie g\u0142osu / krzyk"": 3, ""Brak cierpliwo\u015bci"": 3, ""Wybuchy z\u0142o\u015bci"": 5}","Więcej cierpliwości, bez krzyku. "
"{""Frustracja"": 5, ""Wybuchy z\u0142o\u015bci"": 3, ""Poczucie winy"": 3, ""Impulsywno\u015b\u0107"": 4, ""Podnoszenie g\u0142osu / krzyk"": 3, ""Przebod\u017acowanie"": 4}","reagować z empatią i miłością na wszystkie potrzeby i emocje moich córek.
Panować nad złością - nie wybuchać."
"{""Brak cierpliwo\u015bci"": 5, ""Frustracja"": 5, ""Poczucie winy"": 5}",Chce być bardziej czuła i dostępna podczas usypiania dzieci
"{""Stres"": 5, ""Frustracja"": 3, ""Przebod\u017acowanie"": 4, ""Poczucie winy"": 4}","Nie podnosić głosu w sytuacji frustracji
Dac narzędzia do wyciszenia dziecku
Spokojniejsza z mężem, mająca sile po calym dniu pogadać i słuchać "
"{""Impulsywno\u015b\u0107"": 2, ""Podnoszenie g\u0142osu / krzyk"": 5, ""Po\u015bpiech"": 3, ""Wybuchy z\u0142o\u015bci"": 5}",Czas na własny relaks
"{""Impulsywno\u015b\u0107"": 4, ""Brak cierpliwo\u015bci"": 4, ""Frustracja"": 4, ""Podnoszenie g\u0142osu / krzyk"": 5, ""Przebod\u017acowanie"": 4, ""Wybuchy z\u0142o\u015bci"": 4}",Chce być opanowana i cierpliwa..
"{""Impulsywno\u015b\u0107"": 3, ""Brak cierpliwo\u015bci"": 3, ""Podnoszenie g\u0142osu / krzyk"": 4, ""Poczucie winy"": 5, ""Wybuchy z\u0142o\u015bci"": 3}",Mniej krzyczeć na dzieci
"{""Brak cierpliwo\u015bci"": 4, ""Podnoszenie g\u0142osu / krzyk"": 4, ""Frustracja"": 3}","Nie podnosić głosu, być cierpliwsza"
"{""Brak cierpliwo\u015bci"": 4, ""Frustracja"": 5, ""Podnoszenie g\u0142osu / krzyk"": 5, ""Problemy ze snem"": 4, ""Przebod\u017acowanie"": 3, ""Stres"": 5, ""Poczucie winy"": 5, ""Wybuchy z\u0142o\u015bci"": 5, ""Po\u015bpiech"": 4}",Nauczyć się spokojnego reagowania. Nie krzyczeć. Zachowywać spokój.
"{""Impulsywno\u015b\u0107"": 3, ""Brak cierpliwo\u015bci"": 4, ""Podnoszenie g\u0142osu / krzyk"": 3, ""Frustracja"": 2, ""Wybuchy z\u0142o\u015bci"": 4, ""Poczucie winy"": 4}",Przestać krzyczeć
"{""Brak cierpliwo\u015bci"": 4, ""Impulsywno\u015b\u0107"": 2, ""Frustracja"": 3, ""Podnoszenie g\u0142osu / krzyk"": 3, ""Przebod\u017acowanie"": 5, ""Poczucie winy"": 4, ""Stres"": 3, ""Wybuchy z\u0142o\u015bci"": 3}",Mniej krzyku więcej cierpliwości
"{""Impulsywno\u015b\u0107"": 4, ""Brak cierpliwo\u015bci"": 5, ""Frustracja"": 4, ""Podnoszenie g\u0142osu / krzyk"": 4, ""Przebod\u017acowanie"": 4, ""Po\u015bpiech"": 5, ""Stres"": 4, ""Wybuchy z\u0142o\u015bci"": 4, ""Poczucie winy"": 5}","Wyciszyć się, mieć więcej cierpliwości i spokoju dla bliskich"
"{""Impulsywno\u015b\u0107"": 3, ""Brak cierpliwo\u015bci"": 5, ""Frustracja"": 4, ""Podnoszenie g\u0142osu / krzyk"": 5, ""Przebod\u017acowanie"": 3, ""Po\u015bpiech"": 4, ""Stres"": 4, ""Poczucie winy"": 5, ""Wybuchy z\u0142o\u015bci"": 4}",Zmiana
"{""Impulsywno\u015b\u0107"": 3, ""Brak cierpliwo\u015bci"": 4, ""Frustracja"": 3, ""Podnoszenie g\u0142osu / krzyk"": 3, ""Po\u015bpiech"": 3, ""Stres"": 4, ""Wybuchy z\u0142o\u015bci"": 3}",Więcej spokoju i opanowania
"{""Impulsywno\u015b\u0107"": 5, ""Brak cierpliwo\u015bci"": 5, ""Frustracja"": 3, ""Podnoszenie g\u0142osu / krzyk"": 3, ""Przebod\u017acowanie"": 4, ""Po\u015bpiech"": 5, ""Wybuchy z\u0142o\u015bci"": 3}","Uspokoić relacje z synem, zwolnić,być opanowaną w sytuacjach kryzysowych"
"{""Stres"": 3, ""Przebod\u017acowanie"": 3, ""Poczucie winy"": 3, ""Wybuchy z\u0142o\u015bci"": 3, ""Po\u015bpiech"": 3, ""Podnoszenie g\u0142osu / krzyk"": 3, ""Frustracja"": 3, ""Brak cierpliwo\u015bci"": 3, ""Impulsywno\u015b\u0107"": 3}",Spokoj
"{""Brak cierpliwo\u015bci"": 5, ""Podnoszenie g\u0142osu / krzyk"": 5, ""Wybuchy z\u0142o\u015bci"": 5, ""Poczucie winy"": 5, ""Impulsywno\u015b\u0107"": 5, ""Frustracja"": 5, ""Po\u015bpiech"": 5}",Znaleźć w sobie pokłady cierpliwości
"{""Impulsywno\u015b\u0107"": 3, ""Brak cierpliwo\u015bci"": 3, ""Podnoszenie g\u0142osu / krzyk"": 3, ""Po\u015bpiech"": 2, ""Wybuchy z\u0142o\u015bci"": 3, ""Poczucie winy"": 2, ""Stres"": 2}","Chcę być spokojną, cierpliwą i uważną mamą."
"{""Impulsywno\u015b\u0107"": 5, ""Brak cierpliwo\u015bci"": 3, ""Frustracja"": 3, ""Podnoszenie g\u0142osu / krzyk"": 3, ""Problemy ze snem"": 3, ""Przebod\u017acowanie"": 3, ""Po\u015bpiech"": 5, ""Stres"": 5, ""Poczucie winy"": 5, ""Wybuchy z\u0142o\u015bci"": 5}",Chciałabym umieć panować nad swoimi emocjami.  Nie reagować krzykiem i złością. Być bardziej cierpliwa do mojego syna.
"{""Impulsywno\u015b\u0107"": 5, ""Brak cierpliwo\u015bci"": 5, ""Frustracja"": 5, ""Podnoszenie g\u0142osu / krzyk"": 3, ""Przebod\u017acowanie"": 3, ""Po\u015bpiech"": 5, ""Stres"": 4, ""Poczucie winy"": 4, ""Wybuchy z\u0142o\u015bci"": 5}",Być spokojniejsza i bardziej cierpliwa
"{""Frustracja"": 4, ""Podnoszenie g\u0142osu / krzyk"": 4, ""Przebod\u017acowanie"": 5, ""Poczucie winy"": 5}",Nie reagować i.plusywnie kiedy dzieci mają inny plan niz ja
"{""Podnoszenie g\u0142osu / krzyk"": 2, ""Problemy ze snem"": 4, ""Przebod\u017acowanie"": 2, ""Poczucie winy"": 4}",Reagować spokojniej
"{""Impulsywno\u015b\u0107"": 4, ""Brak cierpliwo\u015bci"": 4, ""Frustracja"": 4, ""Podnoszenie g\u0142osu / krzyk"": 5, ""Problemy ze snem"": 4, ""Przebod\u017acowanie"": 5, ""Po\u015bpiech"": 5, ""Stres"": 5, ""Poczucie winy"": 4, ""Wybuchy z\u0142o\u015bci"": 5}",…
"{""Brak cierpliwo\u015bci"": 5, ""Frustracja"": 4, ""Problemy ze snem"": 3, ""Stres"": 5, ""Impulsywno\u015b\u0107"": 3}",Być spokojniejsza i bardziej cierpliwa
"{""Impulsywno\u015b\u0107"": 4}","Więcej empatii, mniej krzyku, bardziej adekwatne działanie do sytuacji a nie wybuchy złości "
"{""Impulsywno\u015b\u0107"": 3, ""Brak cierpliwo\u015bci"": 2, ""Frustracja"": 3, ""Podnoszenie g\u0142osu / krzyk"": 2, ""Wybuchy z\u0142o\u015bci"": 2}",Reagować spokojnie
"{""Impulsywno\u015b\u0107"": 4, ""Podnoszenie g\u0142osu / krzyk"": 3, ""Przebod\u017acowanie"": 3, ""Brak cierpliwo\u015bci"": 3, ""Frustracja"": 4, ""Stres"": 4}",Reagować na zachowania dzieci w łagodny sposób. Nie działać reaktywnie.
"{""Brak cierpliwo\u015bci"": 3, ""Frustracja"": 4, ""Podnoszenie g\u0142osu / krzyk"": 5, ""Przebod\u017acowanie"": 4, ""Po\u015bpiech"": 4, ""Stres"": 5, ""Poczucie winy"": 5, ""Wybuchy z\u0142o\u015bci"": 4}",Brak krzyku
"{""Brak cierpliwo\u015bci"": 3, ""Przebod\u017acowanie"": 3, ""Problemy ze snem"": 3, ""Wybuchy z\u0142o\u015bci"": 2, ""Poczucie winy"": 3, ""Podnoszenie g\u0142osu / krzyk"": 3}",Więcej cierpliwości i zrozumienia dla dzieci i siebie
"{""Impulsywno\u015b\u0107"": 4, ""Brak cierpliwo\u015bci"": 5, ""Frustracja"": 4, ""Podnoszenie g\u0142osu / krzyk"": 3, ""Przebod\u017acowanie"": 5, ""Stres"": 5, ""Poczucie winy"": 5}",Więcej cierpliwości i rozmiw
"{""Impulsywno\u015b\u0107"": 4, ""Podnoszenie g\u0142osu / krzyk"": 5, ""Poczucie winy"": 5, ""Wybuchy z\u0142o\u015bci"": 3}",Chcę panować nad emocjami.
"{""Impulsywno\u015b\u0107"": 5, ""Brak cierpliwo\u015bci"": 4, ""Frustracja"": 5, ""Podnoszenie g\u0142osu / krzyk"": 5, ""Poczucie winy"": 5, ""Wybuchy z\u0142o\u015bci"": 5}",Wyciszyć wybuchy zlosci
"{""Brak cierpliwo\u015bci"": 4, ""Podnoszenie g\u0142osu / krzyk"": 5, ""Wybuchy z\u0142o\u015bci"": 3}",Być bardziej cierpliwą i mniej krzyczeć
"{""Impulsywno\u015b\u0107"": 5, ""Brak cierpliwo\u015bci"": 3, ""Frustracja"": 5, ""Podnoszenie g\u0142osu / krzyk"": 5, ""Problemy ze snem"": 3, ""Przebod\u017acowanie"": 3, ""Po\u015bpiech"": 3, ""Stres"": 5, ""Poczucie winy"": 5, ""Wybuchy z\u0142o\u015bci"": 5}","Chcę opanować gniew, krzyk i impulsywne "
"{""Impulsywno\u015b\u0107"": 3, ""Brak cierpliwo\u015bci"": 4, ""Frustracja"": 4, ""Podnoszenie g\u0142osu / krzyk"": 5, ""Problemy ze snem"": 5, ""Przebod\u017acowanie"": 5, ""Po\u015bpiech"": 4, ""Stres"": 5, ""Poczucie winy"": 5, ""Wybuchy z\u0142o\u015bci"": 5}",Nie drżeć się na dzieci
"{""Impulsywno\u015b\u0107"": 4, ""Brak cierpliwo\u015bci"": 4, ""Frustracja"": 4, ""Podnoszenie g\u0142osu / krzyk"": 4, ""Problemy ze snem"": 4, ""Przebod\u017acowanie"": 4, ""Po\u015bpiech"": 4, ""Stres"": 4, ""Poczucie winy"": 4, ""Wybuchy z\u0142o\u015bci"": 4}","Opanowanie, spokój, cierpliwość. "
"{""Impulsywno\u015b\u0107"": 3, ""Brak cierpliwo\u015bci"": 3, ""Frustracja"": 4, ""Podnoszenie g\u0142osu / krzyk"": 3, ""Przebod\u017acowanie"": 4, ""Wybuchy z\u0142o\u015bci"": 5}","Być bardziej wyrozumiała dla dzieci pomimo swoich problemów, które się piętrzą zamiast rozwiązywać"
"{""Impulsywno\u015b\u0107"": 3, ""Brak cierpliwo\u015bci"": 3, ""Frustracja"": 4, ""Podnoszenie g\u0142osu / krzyk"": 4, ""Problemy ze snem"": 5, ""Przebod\u017acowanie"": 3, ""Po\u015bpiech"": 4, ""Stres"": 4, ""Poczucie winy"": 5, ""Wybuchy z\u0142o\u015bci"": 4}",lepsza współpraca z dziećmi bez krzyków i nerwów
"{""Brak cierpliwo\u015bci"": 5, ""Frustracja"": 5, ""Podnoszenie g\u0142osu / krzyk"": 4, ""Przebod\u017acowanie"": 3, ""Po\u015bpiech"": 5, ""Stres"": 3, ""Poczucie winy"": 3, ""Wybuchy z\u0142o\u015bci"": 3, ""Impulsywno\u015b\u0107"": 3}","Stac sie opanowana I cierpliwa, nie krzyczec na dzieci, więcej tlumaczyc"
"{""Impulsywno\u015b\u0107"": 5, ""Brak cierpliwo\u015bci"": 5, ""Frustracja"": 5, ""Podnoszenie g\u0142osu / krzyk"": 5, ""Problemy ze snem"": 5, ""Przebod\u017acowanie"": 5, ""Po\u015bpiech"": 1, ""Stres"": 1, ""Poczucie winy"": 5, ""Wybuchy z\u0142o\u015bci"": 5}","Mniej się złościć,więcej cierpliwości,więcej zrozumienia "
"{""Impulsywno\u015b\u0107"": 5, ""Brak cierpliwo\u015bci"": 5, ""Frustracja"": 5, ""Podnoszenie g\u0142osu / krzyk"": 5, ""Przebod\u017acowanie"": 3, ""Stres"": 5, ""Poczucie winy"": 5, ""Wybuchy z\u0142o\u015bci"": 5, ""Problemy ze snem"": 3}",Nie wiem
"{""Impulsywno\u015b\u0107"": 4, ""Brak cierpliwo\u015bci"": 4, ""Frustracja"": 4, ""Podnoszenie g\u0142osu / krzyk"": 4, ""Przebod\u017acowanie"": 4, ""Po\u015bpiech"": 4, ""Stres"": 3, ""Poczucie winy"": 3, ""Wybuchy z\u0142o\u015bci"": 4}","Chcę być spokojną, czułą, wspierającą i mądrą mamą dla swoich dzieci i jednocześnie zadbać w tym wszystkim o siebie. Znaleźć balans, nauczyć się odpowiednich relacji i zarządzania emocjami, zwłaszcza tymi trudnymi jak złość czy frustracja."
"{""Brak cierpliwo\u015bci"": 5, ""Frustracja"": 4, ""Podnoszenie g\u0142osu / krzyk"": 4, ""Po\u015bpiech"": 3, ""Poczucie winy"": 5}",Bez krzyku
"{""Impulsywno\u015b\u0107"": 4, ""Brak cierpliwo\u015bci"": 4, ""Przebod\u017acowanie"": 3, ""Po\u015bpiech"": 4, ""Stres"": 5, ""Poczucie winy"": 5, ""Wybuchy z\u0142o\u015bci"": 4}",Cierpliwa i spokojna mama
"{""Brak cierpliwo\u015bci"": 2, ""Podnoszenie g\u0142osu / krzyk"": 2, ""Problemy ze snem"": 3, ""Przebod\u017acowanie"": 4, ""Stres"": 5, ""Wybuchy z\u0142o\u015bci"": 2}",Spokoj
"{""Impulsywno\u015b\u0107"": 2, ""Brak cierpliwo\u015bci"": 3, ""Podnoszenie g\u0142osu / krzyk"": 3, ""Przebod\u017acowanie"": 2, ""Po\u015bpiech"": 3, ""Stres"": 4}",Spokój w kontaktach
"{""Brak cierpliwo\u015bci"": 3, ""Przebod\u017acowanie"": 5, ""Podnoszenie g\u0142osu / krzyk"": 3}",Spokoj
"{""Brak cierpliwo\u015bci"": 4, ""Frustracja"": 3, ""Podnoszenie g\u0142osu / krzyk"": 4, ""Stres"": 5, ""Poczucie winy"": 3}","Brak krzyku
 Brak karania Tesi"
"{""Impulsywno\u015b\u0107"": 3, ""Brak cierpliwo\u015bci"": 3, ""Podnoszenie g\u0142osu / krzyk"": 4, ""Przebod\u017acowanie"": 4, ""Po\u015bpiech"": 5, ""Stres"": 5, ""Poczucie winy"": 5, ""Wybuchy z\u0142o\u015bci"": 5}",Nie wybuchać i nie krzyczeć
"{""Brak cierpliwo\u015bci"": 2, ""Podnoszenie g\u0142osu / krzyk"": 3, ""Problemy ze snem"": 2, ""Przebod\u017acowanie"": 2, ""Wybuchy z\u0142o\u015bci"": 2, ""Poczucie winy"": 3, ""Po\u015bpiech"": 2, ""Stres"": 3, ""Impulsywno\u015b\u0107"": 2, ""Frustracja"": 2}",Nie krzyczeć
"{""Brak cierpliwo\u015bci"": 5, ""Podnoszenie g\u0142osu / krzyk"": 4, ""Przebod\u017acowanie"": 5, ""Stres"": 4, ""Poczucie winy"": 5, ""Wybuchy z\u0142o\u015bci"": 5, ""Frustracja"": 5, ""Po\u015bpiech"": 4}",Nie rozumiem pytania
"{""Podnoszenie g\u0142osu / krzyk"": 4, ""Frustracja"": 2, ""Przebod\u017acowanie"": 4, ""Wybuchy z\u0142o\u015bci"": 2, ""Poczucie winy"": 4}","Chcę podchodzić do dzieci, do życia spokojniej. Z uśmiechem "
"{""Impulsywno\u015b\u0107"": 4, ""Brak cierpliwo\u015bci"": 5, ""Frustracja"": 4, ""Podnoszenie g\u0142osu / krzyk"": 5, ""Problemy ze snem"": 2, ""Przebod\u017acowanie"": 3, ""Po\u015bpiech"": 4, ""Stres"": 4, ""Poczucie winy"": 4, ""Wybuchy z\u0142o\u015bci"": 5}","Nie krzyczeć, mieć więcej cierpliwości, być stanowcza."
"{""Podnoszenie g\u0142osu / krzyk"": 5, ""Impulsywno\u015b\u0107"": 2, ""Problemy ze snem"": 5, ""Frustracja"": 3, ""Brak cierpliwo\u015bci"": 4, ""Przebod\u017acowanie"": 2, ""Poczucie winy"": 4, ""Wybuchy z\u0142o\u015bci"": 5, ""Stres"": 2, ""Po\u015bpiech"": 3}",Mnie krzyku
"{""Impulsywno\u015b\u0107"": 5, ""Brak cierpliwo\u015bci"": 3, ""Podnoszenie g\u0142osu / krzyk"": 5, ""Przebod\u017acowanie"": 5, ""Wybuchy z\u0142o\u015bci"": 5}",Aby przestać reagować krzykiem
"{""Podnoszenie g\u0142osu / krzyk"": 3, ""Brak cierpliwo\u015bci"": 4, ""Stres"": 5, ""Impulsywno\u015b\u0107"": 4, ""Wybuchy z\u0142o\u015bci"": 3, ""Poczucie winy"": 4, ""Problemy ze snem"": 4}",Chcialabym dobrze reagowac na zlosc dziecka
"{""Brak cierpliwo\u015bci"": 4, ""Podnoszenie g\u0142osu / krzyk"": 5, ""Przebod\u017acowanie"": 4, ""Po\u015bpiech"": 4, ""Stres"": 4, ""Wybuchy z\u0142o\u015bci"": 4}","Mniej krzyku, więcej cierpliwości i wyrozumialosci, mniej pospiechu"
"{""Brak cierpliwo\u015bci"": 5, ""Impulsywno\u015b\u0107"": 3, ""Podnoszenie g\u0142osu / krzyk"": 3, ""Stres"": 5, ""Wybuchy z\u0142o\u015bci"": 3, ""Poczucie winy"": 4}",Chce reagować bez złości i krzyku na nerwowe zachowania moich dzieci aby czuły się bezpieczne i kochane
"{""Brak cierpliwo\u015bci"": 4, ""Podnoszenie g\u0142osu / krzyk"": 5, ""Po\u015bpiech"": 3, ""Poczucie winy"": 3, ""Wybuchy z\u0142o\u015bci"": 4}","Więcej cierpliwości, reagiwanie spokojnie, a nie wybuchanie odrazu, mówienie spokojnie zamiast krzyku "
"{""Brak cierpliwo\u015bci"": 4, ""Po\u015bpiech"": 4, ""Podnoszenie g\u0142osu / krzyk"": 4}",Mniej krzyczeć
"{""Impulsywno\u015b\u0107"": 4, ""Frustracja"": 3, ""Brak cierpliwo\u015bci"": 3, ""Przebod\u017acowanie"": 5, ""Po\u015bpiech"": 4, ""Stres"": 3, ""Poczucie winy"": 3, ""Wybuchy z\u0142o\u015bci"": 3}","Spokój, opanowanie, cierpliwość."
"{""Brak cierpliwo\u015bci"": 3, ""Frustracja"": 3, ""Przebod\u017acowanie"": 4, ""Stres"": 3, ""Wybuchy z\u0142o\u015bci"": 3}",Dotrzeć do dziecka kiedy wpada w furię i zachować wolność od tej emocji szukając rozwiązań bez stresu
"{""Impulsywno\u015b\u0107"": 5, ""Brak cierpliwo\u015bci"": 2, ""Frustracja"": 5, ""Podnoszenie g\u0142osu / krzyk"": 5, ""Problemy ze snem"": 3, ""Przebod\u017acowanie"": 5, ""Po\u015bpiech"": 4, ""Stres"": 5, ""Poczucie winy"": 3, ""Wybuchy z\u0142o\u015bci"": 5}",Zmniejszyc te odczucia ktore pozaznaczalam
"{""Impulsywno\u015b\u0107"": 2, ""Podnoszenie g\u0142osu / krzyk"": 4, ""Po\u015bpiech"": 4, ""Poczucie winy"": 5, ""Wybuchy z\u0142o\u015bci"": 4}","Chcę być cierpliwa, wyrozumiała, dać dzieciom wsparcie i zrozumienie, gdy one czują złość lub nie radzą sobie ze swoimi emocjami "
"{""Impulsywno\u015b\u0107"": 5, ""Brak cierpliwo\u015bci"": 5, ""Frustracja"": 5, ""Podnoszenie g\u0142osu / krzyk"": 5, ""Problemy ze snem"": 2, ""Przebod\u017acowanie"": 2, ""Stres"": 3, ""Poczucie winy"": 4, ""Wybuchy z\u0142o\u015bci"": 5, ""Po\u015bpiech"": 4}","Spokojnie prowadzić rozmowy, bez krzyku, opanować wybuchy złości na dzieci."
"{""Impulsywno\u015b\u0107"": 2, ""Brak cierpliwo\u015bci"": 4, ""Frustracja"": 4, ""Podnoszenie g\u0142osu / krzyk"": 4, ""Stres"": 2, ""Poczucie winy"": 3, ""Wybuchy z\u0142o\u015bci"": 4}",Chce przestać krzyczeć na dzieci
"{""Impulsywno\u015b\u0107"": 5, ""Brak cierpliwo\u015bci"": 4, ""Podnoszenie g\u0142osu / krzyk"": 5, ""Przebod\u017acowanie"": 5, ""Po\u015bpiech"": 4, ""Stres"": 3, ""Wybuchy z\u0142o\u015bci"": 5, ""Poczucie winy"": 2}","Więcej cierpliwości, mniej krzyku 
Radości z macierzyństwa, brak frustracji"
"{""Impulsywno\u015b\u0107"": 4, ""Brak cierpliwo\u015bci"": 5, ""Podnoszenie g\u0142osu / krzyk"": 5, ""Przebod\u017acowanie"": 5, ""Poczucie winy"": 5, ""Wybuchy z\u0142o\u015bci"": 5, ""Frustracja"": 5, ""Po\u015bpiech"": 4, ""Stres"": 4}",Więcej cierpliwości łagodności spokojna mowa powoli bez stresu i bez poczucia winy
"{""Frustracja"": 1, ""Podnoszenie g\u0142osu / krzyk"": 2, ""Stres"": 4, ""Poczucie winy"": 3, ""Wybuchy z\u0142o\u015bci"": 2}",Spokojna ja i spokojne dziecko
"{""Impulsywno\u015b\u0107"": 4, ""Brak cierpliwo\u015bci"": 3, ""Frustracja"": 3, ""Podnoszenie g\u0142osu / krzyk"": 4, ""Przebod\u017acowanie"": 4, ""Po\u015bpiech"": 3, ""Stres"": 3, ""Poczucie winy"": 4, ""Wybuchy z\u0142o\u015bci"": 4}","Mniej krzyku, więcej cierpliwości. Mniej odczuwania złości "
"{""Podnoszenie g\u0142osu / krzyk"": 2, ""Przebod\u017acowanie"": 2, ""Stres"": 2, ""Poczucie winy"": 2, ""Wybuchy z\u0142o\u015bci"": 1}","Przestać krzyczeć, lepiej rozumieć trudne zachowania dziecka."
"{""Brak cierpliwo\u015bci"": 3, ""Frustracja"": 3, ""Podnoszenie g\u0142osu / krzyk"": 4, ""Stres"": 4, ""Po\u015bpiech"": 5, ""Poczucie winy"": 5, ""Wybuchy z\u0142o\u015bci"": 5}",Wychowanie bez krzyku
"{""Impulsywno\u015b\u0107"": 4, ""Brak cierpliwo\u015bci"": 2, ""Frustracja"": 4, ""Podnoszenie g\u0142osu / krzyk"": 4, ""Przebod\u017acowanie"": 5, ""Po\u015bpiech"": 3, ""Stres"": 5, ""Poczucie winy"": 4, ""Wybuchy z\u0142o\u015bci"": 2, ""Problemy ze snem"": 2}",Calm
"{""Impulsywno\u015b\u0107"": 4, ""Brak cierpliwo\u015bci"": 4, ""Frustracja"": 4, ""Podnoszenie g\u0142osu / krzyk"": 3, ""Problemy ze snem"": 3, ""Przebod\u017acowanie"": 5, ""Po\u015bpiech"": 4, ""Stres"": 4, ""Poczucie winy"": 5, ""Wybuchy z\u0142o\u015bci"": 3}",Być wspierającą mamą
"{""Brak cierpliwo\u015bci"": 3, ""Podnoszenie g\u0142osu / krzyk"": 4, ""Frustracja"": 4, ""Po\u015bpiech"": 3, ""Poczucie winy"": 5, ""Wybuchy z\u0142o\u015bci"": 2}",Przestać krzyczeć
"{""Impulsywno\u015b\u0107"": 5, ""Brak cierpliwo\u015bci"": 5, ""Podnoszenie g\u0142osu / krzyk"": 5, ""Frustracja"": 5, ""Problemy ze snem"": 3, ""Przebod\u017acowanie"": 3, ""Stres"": 2, ""Poczucie winy"": 5, ""Wybuchy z\u0142o\u015bci"": 5}",Brak wybuchów i krzyku. Spokoj. Cieplo. Dobroc.
"{""Impulsywno\u015b\u0107"": 4, ""Brak cierpliwo\u015bci"": 5, ""Podnoszenie g\u0142osu / krzyk"": 5, ""Wybuchy z\u0142o\u015bci"": 5, ""Poczucie winy"": 5}",Z dystansem reagować na trudne sytuację związane z wychowywaniem 6 i 2 latka oraz
"{""Podnoszenie g\u0142osu / krzyk"": 5, ""Problemy ze snem"": 3, ""Przebod\u017acowanie"": 3, ""Po\u015bpiech"": 4, ""Stres"": 5, ""Poczucie winy"": 5, ""Wybuchy z\u0142o\u015bci"": 5, ""Frustracja"": 4, ""Brak cierpliwo\u015bci"": 4, ""Impulsywno\u015b\u0107"": 4}",Nauczyć się panować nad nerwami i wychowywać dzieci językiem miłości
"{""Impulsywno\u015b\u0107"": 5, ""Brak cierpliwo\u015bci"": 3, ""Frustracja"": 3, ""Podnoszenie g\u0142osu / krzyk"": 4, ""Problemy ze snem"": 4, ""Przebod\u017acowanie"": 4, ""Po\u015bpiech"": 3, ""Stres"": 4, ""Poczucie winy"": 5, ""Wybuchy z\u0142o\u015bci"": 5}",Dobre relacje
"{""Impulsywno\u015b\u0107"": 5, ""Brak cierpliwo\u015bci"": 5, ""Frustracja"": 5, ""Podnoszenie g\u0142osu / krzyk"": 5, ""Przebod\u017acowanie"": 5, ""Po\u015bpiech"": 3, ""Stres"": 5, ""Wybuchy z\u0142o\u015bci"": 5, ""Poczucie winy"": 5}","Więcej spokoju , szczęście , cierpliwość , wyrozumienie , docenienie tego co mam , zaopiekowanie się soba i dzięki temu bycie lepszą mamą i żoną "
"{""Impulsywno\u015b\u0107"": 5, ""Brak cierpliwo\u015bci"": 5, ""Frustracja"": 4, ""Podnoszenie g\u0142osu / krzyk"": 5, ""Przebod\u017acowanie"": 4, ""Po\u015bpiech"": 3, ""Stres"": 5, ""Poczucie winy"": 4, ""Wybuchy z\u0142o\u015bci"": 5}",Chce reagować bez krzyku i mieć więcej cierpliwosci
"{""Impulsywno\u015b\u0107"": 3, ""Brak cierpliwo\u015bci"": 3, ""Frustracja"": 2, ""Podnoszenie g\u0142osu / krzyk"": 5, ""Stres"": 4, ""Poczucie winy"": 3, ""Wybuchy z\u0142o\u015bci"": 3}","Dobre relacje, spokój, opanowanie, proste zasady, dobra atmosfera w domu, "
"{""Impulsywno\u015b\u0107"": 5, ""Brak cierpliwo\u015bci"": 5, ""Podnoszenie g\u0142osu / krzyk"": 4, ""Przebod\u017acowanie"": 5, ""Stres"": 4, ""Wybuchy z\u0142o\u015bci"": 5}",Nie krzyczeć na dziecko
"{""Impulsywno\u015b\u0107"": 4, ""Brak cierpliwo\u015bci"": 5, ""Frustracja"": 5, ""Podnoszenie g\u0142osu / krzyk"": 5, ""Problemy ze snem"": 2, ""Przebod\u017acowanie"": 3, ""Po\u015bpiech"": 3, ""Stres"": 4, ""Poczucie winy"": 5, ""Wybuchy z\u0142o\u015bci"": 5}",Chcę się uspokoić
